"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","212","test_screenshot[chromium]","screen","2026-06-19","passed","2026-06-19","","test_screenshot","",""
"","241","test_full_page_screenshot[chromium]","screen","2026-06-19","passed","2026-06-19","","test_screenshot","",""
"","234","test_upload_file_event[chromium]","","2026-06-19","passed","2026-06-19","","test_upload","",""
"","96","test_chain_with_variable[chromium]","","2026-06-19","passed","2026-06-19","","test_form","",""
"","92","test_filter_has_text[chromium]","","2026-06-19","passed","2026-06-19","","test_form","",""
"","184","test_upload_file[chromium]","","2026-06-19","passed","2026-06-19","","test_upload","",""
"","208","test_filter_has_not[chromium]","","2026-06-19","passed","2026-06-19","","test_form","",""
"","8364","test_listen_network[chromium]","","2026-06-19","passed","2026-06-19","","test_request","",""
"","90","test_screenshot_transparent[chromium]","screen","2026-06-19","passed","2026-06-19","","test_screenshot","",""
"","60","test_message[chromium]","","2026-06-19","passed","2026-06-19","","test_element","",""
"","65","test_inner_html[chromium]","","2026-06-19","passed","2026-06-19","","test_element","",""
"","381","test_login_failure[chromium]","project","2026-06-19","passed","2026-06-19","","test_pageclass","",""
"","60","test_all_text_contents[chromium]","","2026-06-19","passed","2026-06-19","","test_element","",""
"","1763","test_download[chromium]","","2026-06-19","passed","2026-06-19","","test_download","",""
"","67","test_all_inner_texts[chromium]","","2026-06-19","passed","2026-06-19","","test_element","",""
"","116","test_upload_file_expect[chromium]","","2026-06-19","passed","2026-06-19","","test_upload","",""
"","32","test_block_resources[chromium]","","2026-06-19","passed","2026-06-19","","test_request2","",""
"","195","test_filter_has_locator[chromium]","","2026-06-19","passed","2026-06-19","","test_form","",""
"","372","test_new_tab[chromium]","","2026-06-19","passed","2026-06-19","","test_tabs","",""
"","111","Авторизация с недействительными учетными данными","project2.tests","2026-06-19","passed","2026-06-19","","test_login","",""
"","113","test_filter_has_not_text[chromium]","","2026-06-19","passed","2026-06-19","","test_form","",""
"","85","test_screenshot_JPEG[chromium]","screen","2026-06-19","passed","2026-06-19","","test_screenshot","",""
"","204","test_chain_with_double_arrow[chromium]","","2026-06-19","passed","2026-06-19","","test_form","",""
"","345","Авторизация с корректными учетными данными","project2.tests","2026-06-19","passed","2026-06-19","","test_login","",""
"","72","test_inner_text[chromium]","","2026-06-19","passed","2026-06-19","","test_element","",""
"","174","test_add_todo[chromium]","","2026-06-19","passed","2026-06-19","","test_todo","",""
"","239","Авторизация с корректными учетными данными","project2.tests","2026-06-19","passed","2026-06-19","","test_login","",""
"","344","test_new_tab_alert[chromium]","","2026-06-19","passed","2026-06-19","","test_tabs","",""
"","0","test_intercepted[chromium]","","2026-06-19","skipped","2026-06-19","","test_mod","",""
"","396","test_todo[chromium]","","2026-06-19","passed","2026-06-19","","test_assertions","",""
"","72","test_text_content[chromium]","","2026-06-19","passed","2026-06-19","","test_element","",""
"","129","test_element_screenshot[chromium]","screen","2026-06-19","passed","2026-06-19","","test_screenshot","",""
"","89","test_screenshot_area[chromium]","screen","2026-06-19","passed","2026-06-19","","test_screenshot","",""
